Product_Image-URL,Product_Name,Product_Price,Product_Old_Price,Ratings,Product_Details,Product_Link,Shipping_From
https://cdn.dsmcdn.com/mnresize/400/-/ty1482/product/media/images/prod/QC/20240815/06/a8fff16d-cd08-32eb-be71-cdf6ee1a91ab/1_org_zoom.jpg,Lacoste تي شيرت Kurzarm,"155,24
SAR","194,05",N/A,اللون: أزرق | نوع الكم: كم قصير | الطول: عادي | الستايل: بيسك | القصة: مقاس عادي | النمط: مخطط | نوع القماش: محبوك | المناسبة: كاجوال | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/lacoste/t-shirt-kurzarmshirt-p-850225941?boutiqueId=48&merchantId=968,United Arab Emirates
https://cdn.dsmcdn.com/mnresize/400/-/ty1664/prod/QC/20250411/11/1919a0f4-d12e-307c-aacb-5f0d7c110774/1_org_zoom.jpg,Pull & Bear تي شيرت STWD Studio,"99,00
SAR","105,67",N/A,اللون: أخضر | الشخصية: رائع ومريح | الخامة: قطن | الياقة: ياقة دائرية | مميزات إضافية: غسيل الملابس | طول الكم: قصيرة | نوع الكم: كم قصير | الطول: عادي | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات). | يشمل سعر البيع على ترينديول بالفعل التكاليف المتعلقة بالتصدير. | يُباع بواسطة  Pull&Bear.,https://www.trendyol.com/ar/pull-bear/stwd-studio-t-shirt-p-920793961?boutiqueId=61&merchantId=1045269,Saudi Arabia
https://cdn.dsmcdn.com/mnresize/400/-/ty1658/prod/QC/20250331/12/71375d99-860d-3ac7-9fb5-079f414c846d/1_org_zoom.jpg,Guess AZHA CN فوق تي شيرت,"154,21
SAR","205,62",N/A,اللون: أسود | الطول: قياسي | القصة: ضيق | نوع القماش: غير محدد | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/guess/azha-cn-over-t-shirt-p-904660783?boutiqueId=48&merchantId=968,United Arab Emirates
https://cdn.dsmcdn.com/mnresize/400/-/ty1659/product/media/images/prod/PIM/20250409/12/6123af6c-a215-4e5d-a576-58ae1ab87e36/1_org_zoom.jpg,"Nike حذاء ""Streetball II للرجال GX9688""","81,85
SAR","90,94",N/A,اللون: أبيض | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/nike/streetball-ii-men-s-shoes-gx9688-p-921182137?boutiqueId=48&merchantId=968,United Arab Emirates
https://cdn.dsmcdn.com/mnresize/400/-/ty1530/product/media/images/prod/PIM/20240909/06/0daf6092-777b-4106-a4ba-56a32d8da3fc/1_org_zoom.jpg,Lacoste تي شيرت,"135,05
SAR","158,88",N/A,اللون: أخضر | نوع الكم: كم قصير | الطول: ميدي | القصة: ضيق | الياقة: ياقة دائرية | النمط: سادة | طول الكم: قصيرة | نوع القماش: النسيج | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/lacoste/tee-shirt-p-850617205?boutiqueId=48&merchantId=968,United Arab Emirates
https://cdn.dsmcdn.com/mnresize/400/-/ty1648/prod/QC/20250310/13/666c9e13-5683-3e1d-b379-178e46d38c72/1_org_zoom.jpg,Tommy Hilfiger قمصان تومي هيلفيغر للرجال باللون الأبيض,"240,00
SAR","600,00",N/A,اللون: أبيض | نوع الكم: أكمام طويلة | الياقة: ياقة القميص | نوع الاغلاق: زر | طول الكم: طويلة | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات). | يشمل سعر البيع على ترينديول بالفعل التكاليف المتعلقة بالتصدير. | يُباع بواسطة  Tommy Hilfiger.,https://www.trendyol.com/ar/tommy-hilfiger/tommy-hilfiger-men-white-shirts-p-905739083?boutiqueId=61&merchantId=1048967,Saudi Arabia
https://cdn.dsmcdn.com/mnresize/400/-/ty1576/product/media/images/prod/PIM/20241001/14/42316403-f00f-4ca1-9e9e-872ef3a2e311/1_org_zoom.jpg,New Balance حذاء أنيق موديل MT41502NNY,"79,55
SAR","93,59",4,اللون: أزرق داكن | الطول: قياسي | القصة: مقاس عادي | نوع القماش: النسيج | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/new-balance/mt41502nny-model-number-stylish-shoes-p-862782009?boutiqueId=48&merchantId=968,United Arab Emirates
https://cdn.dsmcdn.com/mnresize/400/-/ty988/product/media/images/jpim-outputs/assets/product/media/images/20230821/22/405816838/992915612/1/1_org_zoom.jpg,Lacoste قميص بولو قصير,"212,75
SAR","250,30",N/A,اللون: أخضر | طول الكم: قصيرة | الستايل: بيسك | الياقة: ياقة القميص | نوع الكم: كم قصير | الطول: عادي | القصة: مقاس عادي | نوع الاغلاق: زر | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/lacoste/poloshirt-kurzarm-p-753832184?boutiqueId=48&merchantId=968,United Arab Emirates
https://cdn.dsmcdn.com/sfint/production/images/trendyol-placeholder_1740990210512.png,H&M قميص أكسفورد بقصّة عادية,"119,00
SAR","127,72",N/A,اللون: أزرق | القصة: مقاس عادي | نوع القماش: غير محدد | الطول: غير محدد | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات). | يشمل سعر البيع على ترينديول بالفعل التكاليف المتعلقة بالتصدير. | يُباع بواسطة  H&M.,https://www.trendyol.com/ar/h-m/regular-fit-oxford-shirt-p-921916024?boutiqueId=61&merchantId=1037565,Saudi Arabia
https://cdn.dsmcdn.com/sfint/production/images/trendyol-placeholder_1740990210512.png,RAVANELLI قميص Giza رجالي من الكتان باللونين الأزرق والأبيض مصنوع من القطن بقصة ضيقة وياقة بأزرار,"88,44
SAR","102,62",4.9,اللون: أزرق | القصة: قصة ضيقة | تفاصيل الاستدامة: عضوي | الخامة: قطن - بوليستر | الجيب: بدون جيوب | نوع النسيج: تول | طول الكم: طويلة | الشخصية: رائع ومريح | يمكن طلب بحد أقصى عدد 3 وحدة (وحدات) من هذا المنتج. يحق لترينديول إلغاء الطلبات التي تزيد عن 3 وحدة (وحدات).,https://www.trendyol.com/ar/ravanelli/giza-men-s-blue-white-linen-look-cotton-slim-fit-slim-fit-buttoned-collar-striped-shirt-p-841277087?boutiqueId=48&merchantId=968,United Arab Emirates
